tier,s1,s2,text,text_full,match,group_num,occ_num
underlying_full_phrase,21.7,25.3,pdsppddpmgrmgr,pdsppddpmgrmgr,match,4.0,10.0
underlying_sancara,23.1,25.3,pddpmgrmgr,pddpmgrmgr,match,5.0,8.0
underlying_sancara,25.3,28.3,srgrgp,srgrgp,match,16.0,5.0
underlying_full_phrase,28.3,31.8,pdsppddpmgrmgr,pdsppddpmgrmgr,match,4.0,7.0
underlying_sancara,29.4,31.8,pddpmgrmgr,pddpmgrmgr,match,5.0,7.0
underlying_sancara,31.8,34.9,srgrgp,srgrgpgp,match,16.0,3.0
underlying_full_phrase,34.9,38.4,pdsppddpmgrmgr,pdsppddpmgrmgr,match,4.0,4.0
underlying_sancara,36.1,38.4,pddpmgrmgr,pddpmgrmgr,match,5.0,9.0
underlying_sancara,38.4,41.5,srgrgp,srgrgpgp,match,16.0,6.0
underlying_sancara,41.5,44.6,mgpdssnd,mgpdssnd,no match,,
underlying_full_phrase,44.7,48.0,drsrsndpmgrsrg,drsrsndpmgrsrg,match,28.0,0.0
underlying_full_phrase,48.0,51.5,pdsppddpmgrmgr,pdsppddpmgrmgr,match,0.0,7.0
underlying_sancara,49.2,51.5,pddpmgrmgr,pddpmgrmgr,match,0.0,7.0
underlying_sancara,51.6,54.7,srgrgp,srgrgpgp,match,16.0,2.0
underlying_sancara,54.7,58.0,mgpdssnd,mgpdssnd,no match,,
underlying_full_phrase,58.0,61.1,drsrsndpmgrsrg,drsrsndpmgrsrg,match,8.0,4.0
underlying_full_phrase,61.1,64.8,pdsppddpmgrmgr,pdgrsndpmgrmgr,match,4.0,8.0
underlying_sancara,62.5,64.8,pddpmgrmgr,sndpmgrmgr,no match,,
underlying_sancara,64.8,67.9,srgrgp,srgmggrrgpgp,no match,,
underlying_sancara,67.9,71.2,mgpdssnd,mgpdssnd,no match,,
underlying_full_phrase,71.2,74.5,drsrsndpmgrsrg,grsndrsndpmgrsrg,match,8.0,5.0
underlying_sancara,72.3,74.5,sndpmgrsrg,rsndpmgrsrg,match,8.0,5.0
underlying_full_phrase,74.5,78.1,pdsppddpmgrmgr,pdgrsndpmgrmgr,match,4.0,5.0
underlying_sancara,75.9,78.1,pddpmgrmgr,sndpmgrmgr,no match,,
underlying_sancara,78.2,81.2,srgrgp,srgmggrrgpgp,no match,,
